user,Gender?,College,Whiskey Sour,Old Fashion,Whiskey Coke,Pickle Back,Tequila Sunrise,Margarita,Freddy��Fudpucker,Bacardi Cocktail,Rum and Coke,Mojito,Daiquiri,Malibu,Blue Hawaii,Mai Tai,Gimlet,Gin and Tonic,French 75,White Russian,Cran Vodka,Appletini,Cosmo,Blue Guy,Screwdriver,Moscow Mule,Lemon Drop,Sex on the Beach,Mimosa,Long Island,SF Slide,"Please add you favorite drinks we may have missed (seperate multiple values with a ',')",Start Date (UTC),Submit Date (UTC),Network ID
7a6aa49a3866ad7fa73c6df5dced3217,Male,College of Engineering,1,-1,-1,0,-1,-1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,-1,-1,1,1,1,1,0,Diabetic Russians,10/5/16 18:37,10/5/16 18:39,bdacd5498b
4001f69b9b52b3d2aa3c4a19a8dcebf4,Male,Other,0,1,0,0,-1,-1,-1,0,-1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,,10/5/16 18:39,10/5/16 18:41,46c70a74e7
d8ef49714c826410b30f89ed88468dbf,Female,Other,0,0,1,0,-1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,,10/5/16 18:41,10/5/16 18:42,2c6b14a3b3
4877922d714d06806aac3582b4533061,Male,College of Engineering,-1,0,1,0,-1,1,0,1,1,-1,1,1,1,0,-1,-1,0,1,0,-1,-1,0,1,1,0,0,1,1,1,,10/5/16 18:41,10/5/16 18:43,bf8d51d43f
676a8642ae5577851ea38040bfbdd2de,Male,College of LAS,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,-1,1,1,1,1,0,1,0,"Tom Collins, Mint Julep, Kentucky Mule, Kamikaze, Blue Mofo, Tokyo Tea, Dirty Martini, Long Beach Iced Tea, Manhattan, Black Russian, White Russian, Blind Russian, Dark and Stormy, Bloody Mary, Amaretto Sour/Stone sour.",10/5/16 18:30,10/5/16 18:43,64f90bb540
dcd300cd9becc6943deac2ab17d18cf5,Male,College of LAS,1,-1,1,-1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,,10/5/16 18:43,10/5/16 18:44,f9353b6582
288ca8de7b7130135d772d1385b5a9f3,Male,College of ACES,1,0,1,-1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,-1,-1,1,1,1,,1,1,1,0,J�_ger bomb,10/5/16 18:20,10/5/16 18:44,2e39c0d9cb
5b3e53d04df85abb861e74cc5a8d5d47,Female,College of Engineering,-1,-1,-1,0,0,1,0,0,-1,1,1,-1,0,0,-1,-1,-1,0,1,1,1,1,1,0,1,0,1,1,0,,10/5/16 18:44,10/5/16 18:45,f5f08b2c57
55e80b0dc7f0676e53f7710891f879b2,Male,Other,0,1,1,0,1,1,-1,1,1,1,1,-1,-1,1,-1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,,10/5/16 18:44,10/5/16 18:46,9fc42dcdd4
c5fe1bb4c420e66b0dc63227dada86f0,Male,Other,1,1,1,0,1,-1,0,0,1,0,1,1,0,0,-1,-1,-1,0,0,0,0,1,1,0,0,1,1,1,0,Rum coke grenadine ,10/5/16 18:45,10/5/16 18:48,7aff277689
8d16a32978ab2e27a0e28ed9806a9ca7,Male,College of Engineering,0,1,1,0,1,1,0,1,1,,1,1,1,1,0,-1,-1,1,0,0,0,0,0,1,0,0,0,1,0,Scotch and soda,10/5/16 18:47,10/5/16 18:49,b461b788d1
e558d2b751cb3465e663ed11d28f5ed5,Male,College of Engineering,0,1,1,-1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,-1,1,0,1,1,0,0,1,1,0,"Martini, Dark and Stormy",10/5/16 18:48,10/5/16 18:50,7100fd2cf4
cf80329a8aacf1cdc1ebaa95a636ed99,Male,College of Engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,Water,10/5/16 18:49,10/5/16 18:51,6a26ff6d10
485c7b66cabc46899fbb0c34f6221f11,Male,Other,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,-1,-1,-1,1,0,0,1,1,1,1,0,1,1,0,,10/5/16 18:48,10/5/16 18:51,7532ea8f68
aabb0ae52f16c810e60593e5675ca999,Male,College of Engineering,-1,-1,-1,-1,1,1,0,-1,1,1,1,0,0,0,1,1,1,0,1,1,-1,1,0,0,0,0,1,1,0,,10/5/16 18:49,10/5/16 18:51,d9be8fb41b
7ce66c5ec11b2e534f8032e4a35b2328,Female,Other,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,0,-1,0,0,1,0,0,0,0,0,0,0,0,Tom Collins,10/5/16 18:52,10/5/16 18:54,f038c07851
5bd20a10d38ec12c1da957b64679b8a0,Male,Other,-1,1,1,0,1,1,0,1,1,1,1,1,0,1,,-1,-1,1,1,-1,-1,-1,1,1,-1,1,1,1,0,,10/5/16 18:52,10/5/16 18:54,4597a77654
58a04c9613c65c4a73e82c54c9c3290f,Male,College of Engineering,-1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,,10/5/16 18:48,10/5/16 18:54,2d0e9f2d9c
ecff7194f8de2d298e829dbfc092ae5b,Male,Other,1,1,1,-1,-1,-1,-1,1,1,-1,1,1,0,-1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,0,Gin and Sprite,10/5/16 18:52,10/5/16 18:55,bbbe62b96b
8087a11aef3fa374235ca8d99f35baff,Female,Other,1,-1,1,-1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,-1,1,1,1,1,-1,"amaretto sour,wine,sangria",10/5/16 18:52,10/5/16 18:55,f712bf2fc1
52ca6c0b331a8ed119c19f471e836800,Male,College of LAS,1,1,1,0,1,1,0,1,1,1,1,1,1,1,-1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,,10/5/16 18:54,10/5/16 18:56,c7a940a511
5c07eaa8d723378299d6fc5e06229901,Female,Other,-1,0,-1,-1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,-1,,10/5/16 18:54,10/5/16 18:56,8b88fe08f1
294347c938cc0f61408bfc8fbc6d95d3,Other,College of ACES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,sup ish,10/5/16 18:55,10/5/16 18:56,72719a631d
e9b51f98a0065cff4552b766a3d0c46e,Male,College of Engineering,0,0,1,-1,0,0,0,0,-1,1,-1,1,0,1,0,1,0,-1,1,0,1,0,1,0,0,0,0,1,0,Kamikaze,10/5/16 18:46,10/5/16 18:57,6ef5471fce
cc27bb3cb72a93bfba0dfab28b900e23,Male,College of LAS,1,1,1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,Martini,10/5/16 18:57,10/5/16 18:59,ed77d39e11
9fa6b56b3400738f623605bfa5321735,Female,Other,-1,-1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,-1,1,0,1,0,0,1,1,1,0,,10/5/16 18:57,10/5/16 19:01,f436efb9e4
7c1447fcbee32c23edd1a70071d7ad42,Male,Other,-1,1,-1,1,0,1,0,1,1,1,1,-1,-1,1,0,0,0,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,Fireball and run chata,10/5/16 18:59,10/5/16 19:01,c9a6f688ca
cb1c232e653fcb7b716fac11c3525fb9,Female,Other,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,,10/5/16 19:00,10/5/16 19:02,129a5f8479
a5f65df19261413dd751630d1cbe81dd,Male,College of LAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10/5/16 19:01,10/5/16 19:02,e1bdf8ffe5
300a99d011657149079ccb4fcb552f15,Female,College of Engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,10/5/16 19:04,10/5/16 19:05,6378aedc00
